OperationID,OperationDate,location,teamID,Shift,EquipmentID,Input_Weight(tons),Energy_Consumed,Processing_Time,Waste(tons),Output_Weight(tons)2,,
43,6/21/2025,Mcfarlandburgh,13,morning,146,48.09051,855.62,4.74,1.80704,46.28347,,
44,6/21/2025,Mcfarlandburgh,14,evening,147,16.86751,1084.23,6.33,1.52994,15.33757,,
45,6/21/2025,Mcfarlandburgh,15,night,148,40.07701,1093.88,10.55,1.9088,38.16821,,
46,6/22/2025,New Sonia,16,morning,134,55.56161,686.71,9.81,0.51219,55.04942,,
47,6/22/2025,New Sonia,17,evening,136,42.87812,546.36,7.01,1.04561,41.83251,,
48,6/22/2025,New Sonia,18,night,142,43.89805,1063.47,3,1.48629,42.41176,,
49,6/23/2025,Karenbury,1,morning,89,22.80018,527.64,8.71,1.17991,21.62027,,
50,6/23/2025,Karenbury,2,evening,93,15.90948,376.17,9.62,1.65364,14.25584,,
51,6/23/2025,Karenbury,3,night,95,16.36742,698.43,5.84,1.96301,14.40441,,
52,6/24/2025,North Jeremymouth,19,morning,116,12.1845,763.52,10.08,1.00826,11.17624,,
53,6/24/2025,North Jeremymouth,20,evening,118,57.95653,357.97,5.3,1.86276,56.09377,,
54,6/24/2025,North Jeremymouth,21,night,121,15.11004,710.9,11.21,1.38397,13.72607,,
55,6/25/2025,Lake Scott,10,morning,127,48.71679,560.45,1.56,1.23357,47.48322,,
56,6/25/2025,Lake Scott,11,evening,128,38.19623,759.29,6.39,0.53506,37.66117,,
57,6/25/2025,Lake Scott,12,night,129,35.99092,665.39,10.6,0.99819,34.99273,,
58,6/28/2025,North Jeremymouth,19,morning,122,16.20231,1168.12,10.39,1.45024,14.75207,,
59,6/28/2025,North Jeremymouth,20,evening,130,12.6247,774.1,9.76,1.51012,11.11458,,
60,6/28/2025,North Jeremymouth,21,night,132,15.11386,456.6,6.55,1.4423,13.67156,,
61,6/29/2025,Petersonview,25,morning,75,12.44732,629.7,10.03,1.1952,11.25212,,
62,6/29/2025,Petersonview,26,evening,77,58.66098,619.47,6.35,0.73441,57.92657,,
63,6/29/2025,Petersonview,27,night,79,19.1443,662.05,10.32,0.57187,18.57243,,
64,6/30/2025,Roseberg,28,morning,149,40.78523,1162.59,9.26,1.25188,39.53335,,
65,6/30/2025,Roseberg,29,evening,150,31.76798,1179.38,5.7,1.4926,30.27538,,
66,6/30/2025,Roseberg,30,night,141,47.4167,1147.82,2.38,1.56703,45.84967,,
67,7/1/2025,Lake Austin,4,morning,17,42.55393,935.06,6.22,1.53128,41.02265,,
68,7/1/2025,Lake Austin,5,evening,20,56.20547,325.76,1.87,1.36047,54.845,,
69,7/1/2025,Lake Austin,6,night,23,44.36025,667.67,10.77,1.43636,42.92389,,
70,7/2/2025,North Lisatown,22,morning,52,22.96405,1138,1.58,0.81408,22.14997,,
71,7/2/2025,North Lisatown,23,evening,53,32.9372,1044.38,10.23,0.73451,32.20269,,
72,7/2/2025,North Lisatown,24,night,56,36.5302,893.78,5.03,0.54158,35.98862,,
73,7/5/2025,New Sonia,16,morning,134,58.64256,533.6,11.15,0.76357,57.87899,,
74,7/5/2025,New Sonia,17,evening,136,12.12284,754.59,9.92,1.96231,10.16053,,
75,7/5/2025,New Sonia,18,night,142,15.11228,909.77,10.67,0.89792,14.21436,,
76,7/6/2025,Roseberg,28,morning,149,52.6326,848.69,2.65,0.66497,51.96763,,
77,7/6/2025,Roseberg,29,evening,150,57.383,747.08,10.45,1.56689,55.81611,,
78,7/6/2025,Roseberg,30,night,141,48.76815,310.87,9.79,1.30289,47.46526,,
79,7/7/2025,Lake Scott,10,morning,127,43.25566,723.73,7.73,1.67629,41.57937,,
80,7/7/2025,Lake Scott,11,evening,128,51.12423,539.44,10.32,1.12944,49.99479,,
81,7/7/2025,Lake Scott,12,night,129,12.11025,924.74,9.91,1.65963,10.45062,,
82,7/8/2025,New Sonia,16,morning,134,24.13786,788.21,2.24,0.6571,23.48076,,
83,7/8/2025,New Sonia,17,evening,136,27.85289,1008.22,5.52,1.64006,26.21283,,
84,7/8/2025,New Sonia,18,night,142,16.83128,817.92,10.72,1.25895,15.57233,,
85,7/9/2025,Lake Austin,4,morning,13,42.96621,929.44,11.52,0.97048,41.99573,,
86,7/9/2025,Lake Austin,5,evening,14,51.61491,1053.18,6.22,1.86932,49.74559,,
87,7/9/2025,Lake Austin,6,night,15,29.05175,776.51,3.95,1.13747,27.91428,,
88,7/12/2025,Karenbury,1,morning,89,22.38855,1156.32,10.21,1.64328,20.74527,,
89,7/12/2025,Karenbury,2,evening,93,34.82383,581.27,11.42,1.44258,33.38125,,
90,7/12/2025,Karenbury,3,night,95,22.73007,975.47,3.12,1.6089,21.12117,,
91,7/13/2025,North Jeremymouth,19,morning,122,29.6334,766.52,2.16,1.7345,27.8989,,
92,7/13/2025,North Jeremymouth,20,evening,130,47.47196,371.31,2.06,0.92569,46.54627,,
93,7/13/2025,North Jeremymouth,21,night,132,34.11564,570.35,5.81,1.96096,32.15468,,
94,7/14/2025,Lake Jamieport,7,morning,57,15.42238,862.35,2.21,1.14797,14.27441,,
95,7/14/2025,Lake Jamieport,8,evening,72,28.08713,882.59,7.28,0.67505,27.41208,,
96,7/14/2025,Lake Jamieport,9,night,73,41.28312,364.64,4.58,0.82984,40.45328,,
97,7/15/2025,New Sonia,16,morning,134,45.7163,657.05,2.15,0.82468,44.89162,,
98,7/15/2025,New Sonia,17,evening,136,53.75074,352.03,8,1.07689,52.67385,,
99,7/15/2025,New Sonia,18,night,142,12.26452,760.44,8.45,1.89785,10.36667,,
100,7/16/2025,New Sonia,16,morning,143,26.33793,466.01,7.49,0.93451,25.40342,,
101,7/16/2025,New Sonia,17,evening,144,47.95885,969.67,5.43,0.92777,47.03108,,
102,7/16/2025,New Sonia,18,night,145,53.43917,673.94,11.64,1.23854,52.20063,,
103,7/19/2025,Roseberg,28,morning,149,55.04158,584.55,3.22,0.60005,54.44153,,
104,7/19/2025,Roseberg,29,evening,150,31.16131,880.02,6.55,1.39549,29.76582,,
105,7/19/2025,Roseberg,30,night,141,33.03578,883.62,4.04,1.69469,31.34109,,
106,7/20/2025,Lake Scott,10,morning,127,30.57712,952.5,10.11,0.50616,30.07096,,
107,7/20/2025,Lake Scott,11,evening,128,22.80393,1105.95,3.68,0.55181,22.25212,,
108,7/20/2025,Lake Scott,12,night,129,19.08863,642.86,1.52,1.5251,17.56353,,
109,7/21/2025,Petersonview,25,morning,82,12.1242,724.53,2.55,1.54643,10.57777,,
110,7/21/2025,Petersonview,26,evening,85,48.7785,1062.52,1.9,1.78539,46.99311,,
111,7/21/2025,Petersonview,27,night,88,59.01971,1077.8,4.69,1.13076,57.88895,,
112,7/22/2025,Lake Austin,4,morning,13,51.6496,496.2,5.64,0.7671,50.8825,,
113,7/22/2025,Lake Austin,5,evening,14,20.91528,862.88,8.76,1.7571,19.15818,,
114,7/22/2025,Lake Austin,6,night,15,48.60027,670.3,2.42,0.54173,48.05854,,
115,7/23/2025,New Sonia,16,morning,143,21.08192,832.29,9.59,0.65044,20.43148,,
116,7/23/2025,New Sonia,17,evening,144,28.33088,793.54,3.88,1.77881,26.55207,,
117,7/23/2025,New Sonia,18,night,145,41.21254,568.07,2.35,1.55428,39.65826,,
118,7/26/2025,Lake Austin,4,morning,3,45.11018,1013.67,11.78,1.22217,43.88801,,
119,7/26/2025,Lake Austin,5,evening,6,30.62868,763.29,6.49,1.0914,29.53728,,
120,7/26/2025,Lake Austin,6,night,9,24.93108,537.44,3.47,1.83016,23.10092,,
121,7/27/2025,New Sonia,16,morning,143,57.32443,880.78,4.11,1.17083,56.1536,,
122,7/27/2025,New Sonia,17,evening,144,26.61345,894.84,11.8,0.99837,25.61508,,
123,7/27/2025,New Sonia,18,night,145,40.05742,691.04,9.61,1.36468,38.69274,,
124,7/28/2025,Lake Scott,10,morning,127,32.37865,690.73,1.07,0.85039,31.52826,,
125,7/28/2025,Lake Scott,11,evening,128,28.44276,461.29,1.1,1.60961,26.83315,,
126,7/28/2025,Lake Scott,12,night,129,32.01836,885.39,6.66,1.31553,30.70283,,
127,7/29/2025,Lake Jamieport,7,morning,57,48.52028,1121.96,5.38,1.59716,46.92312,,
128,7/29/2025,Lake Jamieport,8,evening,72,53.40238,346.26,3.2,1.40342,51.99896,,
129,7/29/2025,Lake Jamieport,9,night,73,36.75607,960.77,5.95,1.99223,34.76384,,
130,7/30/2025,Lake Scott,10,morning,127,25.98472,595.31,2.28,0.8325,25.15222,,
131,7/30/2025,Lake Scott,11,evening,128,22.32431,1116.87,2.95,1.66211,20.6622,,
132,7/30/2025,Lake Scott,12,night,129,57.99072,376.04,8.37,1.85241,56.13831,,
133,8/2/2025,Karenbury,1,morning,99,59.89448,349.97,8.58,0.82304,59.07144,,
134,8/2/2025,Karenbury,2,evening,113,38.38993,773.32,3.67,1.39356,36.99637,,
135,8/2/2025,Karenbury,3,night,115,47.87434,1143.76,4.76,1.04198,46.83236,,
136,8/3/2025,Lake Scott,10,morning,127,47.33071,1172.98,9.91,1.87295,45.45776,,
137,8/3/2025,Lake Scott,11,evening,128,26.39548,510.92,9.87,1.71544,24.68004,,
138,8/3/2025,Lake Scott,12,night,129,53.21936,1065.82,7.06,1.90124,51.31812,,
139,8/4/2025,North Jeremymouth,19,morning,122,28.42537,891.24,4.2,1.25006,27.17531,,
140,8/4/2025,North Jeremymouth,20,evening,130,50.07901,880.88,11.8,0.93951,49.1395,,
141,8/4/2025,North Jeremymouth,21,night,132,34.74967,1069.82,5.65,1.8586,32.89107,,
142,8/5/2025,Roseberg,28,morning,149,24.33089,1137.95,8.7,1.0514,23.27949,,
143,8/5/2025,Roseberg,29,evening,150,16.59032,694.28,10.55,1.11114,15.47918,,
144,8/5/2025,Roseberg,30,night,141,17.07524,347.44,11.69,0.71643,16.35881,,
145,8/6/2025,North Lisatown,22,morning,38,24.62042,792.74,3.19,1.82847,22.79195,,
146,8/6/2025,North Lisatown,23,evening,44,31.02977,481.9,2.21,1.49808,29.53169,,
147,8/6/2025,North Lisatown,24,night,46,47.54295,1067.98,6.36,0.77552,46.76743,,
148,8/9/2025,New Sonia,16,morning,143,27.26069,949.21,7.18,1.37607,25.88462,,
149,8/9/2025,New Sonia,17,evening,144,35.78659,1137.91,1.01,1.1779,34.60869,,
150,8/9/2025,New Sonia,18,night,145,53.06169,736.69,7.22,1.9058,51.15589,,
