QCTestID,SampleID,teamID,TestDate,Purity_Percent,Copper_Percent,Iron_Percent,Zinc_Percent,Moisture_Percent,dry_weight,Test_Score
73,62,59,2025-08-26,88.95,20.91,3.23,1.04,0.145213021,8.248694349,50.2909574
74,99,60,2025-08-26,86.15,21.44,2.79,0.91,0.116861211,1.103923487,49.11662776
75,129,58,2025-08-26,92.87,15.74,4.81,0.04,0.141740216,1.810928145,50.64165196
76,94,58,2025-08-26,89.32,30.33,9.24,0.09,0.10656096,1.706468566,52.80868781
77,28,51,2025-08-26,92.18,19.25,4.23,0.2,0.165484541,6.909788,51.38690309
78,35,59,2025-08-26,98.44,17.5,2.95,0.09,0.160875239,5.429137203,54.13782495
79,19,52,2025-08-26,94.71,14.93,8.47,0.36,0.063032855,1.583474476,50.93739343
80,76,58,2025-08-26,95.78,2.65,3.14,1.16,0.117938411,6.465511444,48.23641232
81,147,56,2025-08-26,86.53,12.99,9.16,0.96,0.070651364,1.449783873,46.13586973
82,134,54,2025-08-26,92.15,3.7,8.65,1.96,0.123820162,7.99952192,46.09523597
83,82,55,2025-08-26,91.02,20.01,6.42,0.15,0.050027668,2.20393581,50.84999447
84,2,60,2025-08-26,94.64,22.6,7.5,1.74,0.126248065,3.51248278,53.15475039
85,46,53,2025-08-26,89.29,26.99,1.66,1.16,0.125909966,5.978775829,52.43481801
86,17,59,2025-08-26,90.71,22.32,6.07,1.75,0.171172956,3.994946354,51.23576541
87,41,54,2025-08-27,99.62,6.95,3.34,0.12,0.087529102,3.713756555,51.53249418
88,83,51,2025-08-27,86.71,26.38,4.94,0.21,0.088202019,3.32806263,50.7323596
89,139,53,2025-08-27,87.98,19.44,2.33,1.73,0.148245497,1.396877385,49.3903509
90,13,53,2025-08-27,88.56,4.02,9.03,1.15,0.143574949,2.320911888,44.44128501
91,100,59,2025-08-27,95.38,1.36,4.17,1.12,0.070069428,2.789791716,47.55598611
92,33,55,2025-08-27,95.63,10.81,4.82,0.04,0.195405056,0.667813804,50.53091899
93,1,51,2025-08-27,96.69,24.31,7.24,1.29,0.084587898,3.286329448,54.76308242
94,69,52,2025-08-27,90.68,32.68,1.31,1.7,0.161522637,1.34156378,54.80769547
95,77,54,2025-08-27,97.7,33.84,5.08,1.99,0.186638855,0.845895591,58.26267223
96,101,55,2025-08-27,95.39,26.88,8.15,0.87,0.151477985,6.576045618,54.8297044
97,95,53,2025-08-27,95.63,10.62,6.81,0.63,0.157750172,0.766447343,50.22844997
98,53,60,2025-08-27,97.25,21.96,3.28,0.82,0.102986297,2.036221107,54.77940274
99,144,58,2025-08-27,94.37,8.47,7.14,0.46,0.121640612,7.843749339,48.94567188
100,58,51,2025-08-27,91.29,26.4,9.35,0.46,0.064496288,0.935503712,52.56710074
101,75,54,2025-08-27,85.46,6.22,8.96,0.87,0.168367123,7.493012222,43.57632658
102,54,51,2025-08-27,93.87,26.6,7.45,1.37,0.199791014,7.890060603,53.9900418
103,36,56,2025-08-27,93.4,30.47,2.73,1.32,0.158512524,2.684345047,55.4082975
104,20,56,2025-08-28,93.95,18.42,3.79,1.55,0.153731215,2.39494066,51.93925376
105,65,58,2025-08-28,89.81,2.76,5.63,0.44,0.06413957,3.228718482,45.11717209
106,47,51,2025-08-28,93.27,15.99,3.87,1.46,0.1141241,5.288679125,50.87717518
107,105,59,2025-08-28,87.56,29.41,4.61,1.59,0.185109495,7.113994106,51.9429781
108,43,59,2025-08-28,94.68,6.7,7.96,1.13,0.130648407,5.407366906,48.41387032
109,48,53,2025-08-28,86.07,1.83,1.13,0.94,0.127572462,1.884443481,43.35448551
110,91,54,2025-08-28,98.04,25.78,9.73,0.32,0.073594097,2.09367734,55.73528118
111,102,59,2025-08-28,88.22,19.92,7.08,0.1,0.123936847,7.297606064,49.34521263
112,130,52,2025-08-28,89.38,1.95,8.66,0.93,0.187804269,7.017371119,44.28243915
113,11,55,2025-08-28,98.18,34.48,7.84,1.31,0.151946257,0.466429559,58.48961075
114,121,60,2025-08-28,98.17,20.14,4.38,0.43,0.132692322,7.909846027,54.62346154
115,51,58,2025-08-28,97.46,20.69,9.43,0.81,0.144361976,7.221584921,53.8811276
116,122,51,2025-08-28,89.87,27.75,2.61,1,0.09500709,6.497849096,52.88099858
117,15,57,2025-08-28,98.44,31.64,0.56,1.91,0.073151938,3.104941007,58.44536961
118,113,52,2025-08-28,96.5,2.6,1.06,1.76,0.054673797,5.842115936,48.73906524
119,14,57,2025-08-28,94.81,12.52,2.09,1.75,0.070358721,2.035914401,50.76592826
120,57,53,2025-08-28,98.41,7.4,5.44,1.99,0.090913891,8.68177234,50.66181722
121,131,56,2025-08-30,96.67,16.55,2.31,1.55,0.076789874,7.265663689,52.89464203
122,123,55,2025-08-30,91.33,3.66,8.37,0.41,0.177994223,6.789767716,45.84440116
123,142,52,2025-08-30,89.83,2.85,0.19,1.68,0.136495345,6.286313892,45.55270093
124,80,52,2025-08-30,90.87,10.88,7.48,0.34,0.056327661,5.275128375,47.90873447
125,44,59,2025-08-30,85.92,31.7,9.69,1.78,0.187485064,7.450761963,51.28250299
126,78,58,2025-08-30,90.42,34.16,2.75,0.68,0.076851913,1.283175842,55.10462962
127,141,60,2025-08-30,90.26,26.85,6.28,0.58,0.181501801,2.733783984,52.46369964
128,109,56,2025-08-30,97.9,0.53,7.18,1.22,0.109214618,0.926416797,48.24815708
129,132,52,2025-08-30,98.24,25.86,3.34,0.13,0.197695818,0.962765019,56.49046084
130,39,52,2025-08-30,99.35,1.26,4.39,1.82,0.086096558,0.822513098,49.41278069
131,133,54,2025-08-30,89.89,6.32,7.37,0.77,0.128764707,4.425875288,46.00424706
132,143,56,2025-08-30,95.33,0.86,1.4,1.58,0.096265066,6.606302369,47.60074699
133,114,59,2025-08-30,94.43,5.64,1.52,1.42,0.180481105,6.24473398,48.57390378
134,116,60,2025-08-30,88.61,24.22,3.82,1.41,0.082818233,4.136489768,51.03343635
135,26,54,2025-08-30,97.96,24.72,2.36,1.07,0.110124171,8.47161789,56.02797517
136,98,53,2025-08-30,88.19,13.3,3.14,0.94,0.052924725,6.335933591,47.66941506
137,148,54,2025-08-30,96.14,25.73,1.59,1.29,0.115158256,6.547828903,55.47696835
138,5,57,2025-08-31,87.16,29.73,1.06,1.39,0.069488181,4.494372087,52.23610236
139,128,58,2025-08-31,86.59,5,9.17,0.48,0.060534561,3.156603875,43.81789309
140,115,57,2025-08-31,95.73,3.52,3.52,1.51,0.146625888,0.588828137,48.39067482
141,66,56,2025-08-31,92.84,13.33,5.7,1.87,0.05775352,5.041018666,49.6484493
142,38,54,2025-08-31,91.6,14.43,5.52,1.63,0.190541602,6.75088304,49.37189168
143,30,57,2025-08-31,96.59,10.04,4.56,1.46,0.060587085,7.04559686,50.68788258
144,16,57,2025-08-31,90.35,26.52,7.5,1.65,0.177175658,7.01046339,52.18456487
145,45,55,2025-08-31,97.71,11.6,3.38,0.02,0.055354583,1.945969559,51.97892908
146,9,60,2025-08-31,99.34,28.1,8.94,0.36,0.100117023,4.913361054,57.1499766
147,64,56,2025-08-31,99.59,31.94,0.77,0.69,0.054885641,8.071276629,59.21902287
148,63,59,2025-08-31,89.14,18.2,5.79,1.47,0.15510707,2.999369903,49.26897859
149,88,57,2025-08-31,91.18,15.32,3.46,1.96,0.149252775,7.197321525,49.61014945
150,3,53,2025-08-31,95.8,3.66,3.7,1.47,0.174228917,7.663155653,48.44515422
