SampleID,InventoryID,teamID,SampleDate,SampleWeight(Kg),Samples_Per_Day,Error_Percent,Avg_Quality_Score,Sample_Count
82,99,49,2025-08-14,2.32,6,3.01,84.6,95
83,22,42,2025-08-14,3.65,1,2.28,63.4,93
84,35,41,2025-08-14,8.14,7,2.78,85.31,15
85,102,43,2025-08-14,7.55,3,1.38,83.07,20
86,140,44,2025-08-14,4.32,8,1.21,52.16,58
87,111,50,2025-08-16,7.77,6,3.9,68.07,70
88,60,43,2025-08-16,8.46,4,1.98,88.69,77
89,3,46,2025-08-16,3.68,7,3.4,53.93,69
90,132,47,2025-08-16,1.44,5,3.04,94.22,43
91,87,48,2025-08-16,2.26,4,4.55,96.54,31
92,11,43,2025-08-16,3.03,2,4.46,92.65,86
93,28,46,2025-08-16,3.54,4,2.49,55.87,93
94,130,47,2025-08-16,1.91,5,1.42,78.26,16
95,62,41,2025-08-16,0.91,2,3.34,85.38,31
96,141,42,2025-08-16,8.27,4,3.37,94.4,24
97,127,43,2025-08-16,7.72,9,3.62,54.79,51
98,136,50,2025-08-16,6.69,1,4.58,90.79,75
99,132,41,2025-08-16,1.25,4,4.02,63.9,88
100,54,43,2025-08-16,3,5,3.31,79.61,78
101,141,46,2025-08-16,7.75,7,3.2,85.99,48
102,100,46,2025-08-16,8.33,9,1.46,88.85,63
103,76,47,2025-08-16,2.82,6,3.43,64.73,90
104,119,46,2025-08-16,0.88,9,4.17,80.37,22
105,120,41,2025-08-16,8.73,5,4.65,64.37,99
106,70,49,2025-08-17,2.75,4,4.62,99.92,87
107,51,42,2025-08-17,4.11,3,3.02,90.73,70
108,22,49,2025-08-17,6.11,7,1.67,70.7,67
109,112,46,2025-08-17,1.04,2,2,93.96,61
110,76,43,2025-08-17,6.17,2,4.99,86.63,24
111,4,48,2025-08-17,7.78,6,2.87,96.44,77
112,85,47,2025-08-17,0.99,1,4.17,58.58,58
113,7,47,2025-08-17,6.18,1,3.19,64.74,64
114,119,45,2025-08-17,7.62,3,2.78,54.69,19
115,130,45,2025-08-17,0.69,9,2.07,65.9,32
116,66,44,2025-08-17,4.51,4,2.92,69.06,43
117,97,41,2025-08-17,2.93,6,0.53,81.64,66
118,147,45,2025-08-17,3.77,5,4.45,73.58,90
119,8,48,2025-08-17,4.55,3,3.03,85.88,24
120,113,44,2025-08-17,6.07,9,0.61,63.46,41
121,71,43,2025-08-17,9.12,2,4.18,58.65,29
122,101,40,2025-08-17,7.18,9,1.11,68.96,52
123,26,46,2025-08-17,8.26,3,0.64,71.9,41
124,113,46,2025-08-17,8.83,1,2.58,71.11,83
125,56,49,2025-08-18,7.17,2,4.82,95.68,37
126,113,47,2025-08-18,6.76,4,0.92,63.48,71
127,140,45,2025-08-18,3.87,4,0.8,67.6,24
128,141,49,2025-08-18,3.36,7,4.46,60.76,63
129,50,44,2025-08-18,2.11,8,4.2,68.6,50
130,80,42,2025-08-18,8.64,1,4.19,69.49,53
131,70,43,2025-08-18,7.87,3,2.61,78.77,21
132,138,46,2025-08-18,1.2,1,2.42,63.92,83
133,96,46,2025-08-18,5.08,8,2.3,62.97,82
134,104,50,2025-08-18,9.13,9,3.12,85.95,41
135,2,43,2025-08-18,7.35,2,3.78,95.51,61
136,20,49,2025-08-18,2.24,7,4.03,56.1,68
137,12,42,2025-08-18,4.05,3,3.45,59.11,25
138,73,46,2025-08-18,7.88,1,3.03,56.66,58
139,24,41,2025-08-18,1.64,5,2.36,84.18,13
140,36,50,2025-08-18,2.19,4,1.94,60.7,35
141,59,46,2025-08-18,3.34,7,1.79,80.23,74
142,30,49,2025-08-18,7.28,1,1.83,60.08,38
143,143,47,2025-08-18,7.31,7,3.57,90.89,78
144,2,45,2025-08-19,8.93,4,3.93,65.81,69
145,50,47,2025-08-19,1.42,2,3.19,83.48,69
146,95,48,2025-08-19,5.6,8,1.5,57.44,93
147,58,40,2025-08-19,1.56,7,1.37,65.3,87
148,20,42,2025-08-19,7.4,5,3.95,64.86,14
149,33,43,2025-08-19,7.12,7,4.9,81.75,79
150,12,50,2025-08-19,2.91,8,0.57,84.04,76
