energy-consumption-ID,OperationID,teamID,Shift,location,Energy_Consumed(KWh),Carbon Emissions(kg CO2/kWh),Electricity Cost per Unit ($/kWh),Total Energy Cost(USD)
75,75,18,night,New Sonia,909.77,318.4195,0.339748447,309.0929446
76,76,28,morning,Roseberg,848.69,297.0415,0.158894146,134.8518726
77,77,29,evening,Roseberg,747.08,261.478,0.290039911,216.6830167
78,78,30,night,Roseberg,310.87,108.8045,0.183379504,57.00718634
79,79,10,morning,Lake Scott,723.73,253.3055,0.305393588,221.0225011
80,80,11,evening,Lake Scott,539.44,188.804,0.158385643,85.43955129
81,81,12,night,Lake Scott,924.74,323.659,0.299812163,277.2482994
82,82,16,morning,New Sonia,788.21,275.8735,0.182290042,143.6828344
83,83,17,evening,New Sonia,1008.22,352.877,0.232296552,234.2060296
84,84,18,night,New Sonia,817.92,286.272,0.327388325,267.7774585
85,85,4,morning,Lake Austin,929.44,325.304,0.188448921,175.1519653
86,86,5,evening,Lake Austin,1053.18,368.613,0.22873608,240.9002647
87,87,6,night,Lake Austin,776.51,271.7785,0.204542859,158.8295753
88,88,1,morning,Karenbury,1156.32,404.712,0.242374214,280.262151
89,89,2,evening,Karenbury,581.27,203.4445,0.161288985,93.75244822
90,90,3,night,Karenbury,975.47,341.4145,0.309931501,302.3288813
91,91,19,morning,North Jeremymouth,766.52,268.282,0.155856288,119.4669622
92,92,20,evening,North Jeremymouth,371.31,129.9585,0.308483356,114.542955
93,93,21,night,North Jeremymouth,570.35,199.6225,0.315455195,179.9198706
94,94,7,morning,Lake Jamieport,862.35,301.8225,0.292654177,252.3703295
95,95,8,evening,Lake Jamieport,882.59,308.9065,0.286320846,252.7039152
96,96,9,night,Lake Jamieport,364.64,127.624,0.192698936,70.26573989
97,97,16,morning,New Sonia,657.05,229.9675,0.289013742,189.8964794
98,98,17,evening,New Sonia,352.03,123.2105,0.268536714,94.53297945
99,99,18,night,New Sonia,760.44,266.154,0.268450606,204.1405785
100,100,16,morning,New Sonia,466.01,163.1035,0.152907963,71.2566397
101,101,17,evening,New Sonia,969.67,339.3845,0.262177234,254.2253987
102,102,18,night,New Sonia,673.94,235.879,0.161435569,108.7978874
103,103,28,morning,Roseberg,584.55,204.5925,0.265886744,155.4240964
104,104,29,evening,Roseberg,880.02,308.007,0.301837856,265.6233499
105,105,30,night,Roseberg,883.62,309.267,0.189174606,167.1584656
106,106,10,morning,Lake Scott,952.5,333.375,0.217260961,206.9410652
107,107,11,evening,Lake Scott,1105.95,387.0825,0.199102165,220.1970396
108,108,12,night,Lake Scott,642.86,225.001,0.192692362,123.8742121
109,109,25,morning,Petersonview,724.53,253.5855,0.19702939,142.7537042
110,110,26,evening,Petersonview,1062.52,371.882,0.22323564,237.1923319
111,111,27,night,Petersonview,1077.8,377.23,0.221240333,238.4528307
112,112,4,morning,Lake Austin,1320.54,462.189,0.327191795,432.0698524
113,113,5,evening,Lake Austin,862.88,302.008,0.302892502,261.359882
114,114,6,night,Lake Austin,670.3,234.605,0.290984155,195.0466791
115,115,16,morning,New Sonia,832.29,291.3015,0.199277192,165.856414
116,116,17,evening,New Sonia,793.54,277.739,0.263399185,209.0177891
117,117,18,night,New Sonia,568.07,198.8245,0.275248319,156.3603126
118,118,4,morning,Lake Austin,1013.67,354.7845,0.260960354,264.5276821
119,119,5,evening,Lake Austin,763.29,267.1515,0.157358944,120.1105087
120,120,6,night,Lake Austin,537.44,188.104,0.158179444,85.01196046
121,121,16,morning,New Sonia,880.78,308.273,0.331944822,292.3703601
122,122,17,evening,New Sonia,894.84,313.194,0.206096391,184.4232949
123,123,18,night,New Sonia,691.04,241.864,0.342925166,236.975007
124,124,10,morning,Lake Scott,690.73,241.7555,0.226903926,156.7293487
125,125,11,evening,Lake Scott,461.29,161.4515,0.343042242,158.241956
126,126,12,night,Lake Scott,885.39,309.8865,0.182757656,161.8118007
127,127,7,morning,Lake Jamieport,1121.96,392.686,0.284824525,319.5617246
128,128,8,evening,Lake Jamieport,346.26,121.191,0.204216459,70.71199119
129,129,9,night,Lake Jamieport,960.77,336.2695,0.173464451,166.6594406
130,130,10,morning,Lake Scott,595.31,208.3585,0.338699253,201.6310524
131,131,11,evening,Lake Scott,1116.87,390.9045,0.200671382,224.1238459
132,132,12,night,Lake Scott,376.04,131.614,0.314370038,118.2157092
133,133,1,morning,Karenbury,349.97,122.4895,0.231891571,81.15509304
134,134,2,evening,Karenbury,773.32,270.662,0.199531632,154.3018017
135,135,3,night,Karenbury,1143.76,400.316,0.27422207,313.6442343
136,136,10,morning,Lake Scott,1172.98,410.543,0.290599896,340.8678654
137,137,11,evening,Lake Scott,510.92,178.822,0.30533054,155.9994794
138,138,12,night,Lake Scott,1065.82,373.037,0.290567447,309.6925965
139,139,19,morning,North Jeremymouth,891.24,311.934,0.204458758,182.2218233
140,140,20,evening,North Jeremymouth,880.88,308.308,0.299472454,263.7992957
141,141,21,night,North Jeremymouth,1069.82,374.437,0.27010887,288.9678709
142,142,28,morning,Roseberg,1137.95,398.2825,0.227515415,258.9011669
143,143,29,evening,Roseberg,694.28,242.998,0.180355108,125.2169441
144,144,30,night,Roseberg,445.97,156.0895,0.31350466,139.8136734
145,145,22,morning,North Lisatown,792.74,277.459,0.344072977,272.7604117
146,146,23,evening,North Lisatown,481.9,168.665,0.330269055,159.1566575
147,147,24,night,North Lisatown,1067.98,373.793,0.183770533,196.2632543
148,148,16,morning,New Sonia,949.21,332.2235,0.349219104,331.4822661
149,149,17,evening,New Sonia,1137.91,398.2685,0.2485498,282.8273034
150,150,18,night,New Sonia,736.69,257.8415,0.181931707,134.0272695
